2021-08-21 15:42:51.672 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 15:43:44.834 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 20 
2021-08-21 15:43:48.071 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 15:48:18.453 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 20 
2021-08-21 15:48:20.598 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 15:58:07.095 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 20 
2021-08-21 15:58:09.907 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 20 
2021-08-21 16:03:25.401 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 16:03:26.190 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 20 
2021-08-21 16:07:53.750 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 20 
2021-08-21 16:07:56.231 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 16:10:00.272 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 20 
2021-08-21 16:10:02.840 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 16:15:05.285 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 30 
2021-08-21 16:15:21.521 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 70 
2021-08-21 16:17:31.013 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 16:18:34.267 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 16:18:37.570 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 100 
